"F","P","S","t","tc","replicate_no","space_replicate","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
10,10,2,0.05,0.1,1,1,2.25,1.42222616792382,0.632100519077253,171.25,2.58823529411765,2.00183739129243,0.773437173908438,90.0588235294118,0.338235294117647,"10_10_2","10_10_2_0.05_0.1_1"
10,10,2,0.05,0.1,1,2,2.4375,1.96532440070335,0.806286933621889,108.125,4.875,6.31183695244781,1.2947357851175,57.5,2.4375,"10_10_2","10_10_2_0.05_0.1_1"
10,10,2,0.05,0.1,1,3,2,1.77281052085584,0.886405260427918,522.863636363636,2.76470588235294,2.79574256157255,1.01122603290922,375.470588235294,0.764705882352941,"10_10_2","10_10_2_0.05_0.1_1"
10,10,2,0.05,0.1,1,4,2.5,1.93218356615859,0.772873426463437,176.8125,2.76470588235294,1.67814673690599,0.60698924526387,128.176470588235,0.264705882352941,"10_10_2","10_10_2_0.05_0.1_1"
10,10,2,0.05,0.1,1,5,2.82352941176471,2.35147012838902,0.832812337137778,127.588235294118,3.76923076923077,1.92153784566105,0.509795754971298,44.5384615384615,0.945701357466063,"10_10_2","10_10_2_0.05_0.1_1"
10,10,2,0.05,0.1,2,1,2.04545454545455,1.29015586829738,0.630742868945385,209.090909090909,2.1,1.99736668746891,0.951126994032814,100.75,0.0545454545454547,"10_10_2","10_10_2_0.05_0.1_2"
10,10,2,0.05,0.1,2,2,2.07692307692308,1.65637850251377,0.797515575284406,128.307692307692,2.42857142857143,1.82774706692675,0.752601733440427,228,0.351648351648351,"10_10_2","10_10_2_0.05_0.1_2"
10,10,2,0.05,0.1,2,3,2.25,1.48323969741913,0.659217643297392,132.9375,2.4,1.5023790657297,0.625991277387376,89.6,0.15,"10_10_2","10_10_2_0.05_0.1_2"
10,10,2,0.05,0.1,2,4,2.21052631578947,1.65257198089729,0.747592086596392,290.684210526316,2,1.47196014438797,0.735980072193987,316.8,-0.210526315789474,"10_10_2","10_10_2_0.05_0.1_2"
10,10,2,0.05,0.1,2,5,3,2.12132034355964,0.707106781186547,82.2,2.13636363636364,1.72641810709905,0.808110603322961,200.272727272727,-0.863636363636364,"10_10_2","10_10_2_0.05_0.1_2"
10,10,2,0.05,0.1,3,1,2.33333333333333,1.22474487139159,0.524890659167824,44.7777777777778,2.625,1.06066017177982,0.404061017820884,62.75,0.291666666666667,"10_10_2","10_10_2_0.05_0.1_3"
10,10,2,0.05,0.1,3,2,2.375,0.916125381312904,0.385737002658065,113.5,2.25,1.03509833901353,0.460043706228236,260.375,-0.125,"10_10_2","10_10_2_0.05_0.1_3"
10,10,2,0.05,0.1,3,3,2.05882352941176,1.43486010795888,0.69693205243717,356.882352941176,1.88,1.61554944214035,0.859334809649123,347.76,-0.178823529411765,"10_10_2","10_10_2_0.05_0.1_3"
10,10,2,0.05,0.1,3,4,2.5,1.73205080756888,0.692820323027551,100.25,2,1.22474487139159,0.612372435695794,138,-0.5,"10_10_2","10_10_2_0.05_0.1_3"
10,10,2,0.05,0.1,3,5,1.88235294117647,1.0537049480984,0.559780753677277,349.294117647059,2.25,1.95982373975546,0.87103277322465,130.916666666667,0.367647058823529,"10_10_2","10_10_2_0.05_0.1_3"
10,10,2,0.05,0.1,4,1,2.27777777777778,1.60167396093093,0.703173934067239,156.111111111111,3.41666666666667,3.4498572653829,1.00971432157548,360.25,1.13888888888889,"10_10_2","10_10_2_0.05_0.1_4"
10,10,2,0.05,0.1,4,2,4,2.5298221281347,0.632455532033676,156,3,2,0.666666666666667,67.875,-1,"10_10_2","10_10_2_0.05_0.1_4"
10,10,2,0.05,0.1,4,3,2,1.31656117720877,0.658280588604383,224.75,2.11764705882353,1.36392599419729,0.644076163926497,106.823529411765,0.117647058823529,"10_10_2","10_10_2_0.05_0.1_4"
10,10,2,0.05,0.1,4,4,1.9,1.44913767461894,0.762704039273128,397.3,2.36363636363636,2.20330330516374,0.932166782953889,321,0.463636363636364,"10_10_2","10_10_2_0.05_0.1_4"
10,10,2,0.05,0.1,4,5,2.25,1.75254916376933,0.778910739453035,162.375,3.4,0.894427190999916,0.263066820882328,270.6,1.15,"10_10_2","10_10_2_0.05_0.1_4"
10,10,2,0.05,0.1,5,1,2.625,2.70493376382245,1.03045095764665,105.875,3,2.60768096208106,0.869226987360353,159.25,0.375,"10_10_2","10_10_2_0.05_0.1_5"
10,10,2,0.05,0.1,5,2,1.96,1.30639452948436,0.666527821165491,421.08,2.52631578947368,2.22032082398096,0.878876992825798,239.105263157895,0.566315789473684,"10_10_2","10_10_2_0.05_0.1_5"
10,10,2,0.05,0.1,5,3,1.95238095238095,1.2440333788203,0.63718782817625,381.761904761905,2.52941176470588,1.8411153908305,0.727882828932988,218.941176470588,0.57703081232493,"10_10_2","10_10_2_0.05_0.1_5"
10,10,2,0.05,0.1,5,4,2.16666666666667,1.33944676902773,0.618206201089721,433.166666666667,2.23529411764706,1.14724734499071,0.513242233285318,243.176470588235,0.0686274509803924,"10_10_2","10_10_2_0.05_0.1_5"
10,10,2,0.05,0.1,5,5,2.1875,1.51520075677559,0.692663203097415,440.5625,2.1875,1.47054411698527,0.672248739193268,355.4375,0,"10_10_2","10_10_2_0.05_0.1_5"
10,10,2,0.05,0.2,1,1,3.57575757575758,3.33569991746769,0.932865231156218,248.727272727273,3.41176470588235,2.18113569985374,0.639298394784717,55.4705882352941,-0.163992869875223,"10_10_2","10_10_2_0.05_0.2_1"
10,10,2,0.05,0.2,1,2,4.24,3.96106046406767,0.934212373600866,256.44,3.66666666666667,2.35027860557201,0.640985074246913,41.1333333333333,-0.573333333333334,"10_10_2","10_10_2_0.05_0.2_1"
10,10,2,0.05,0.2,1,3,5.3,10.9260673331451,2.06152213832927,191.5,3.05555555555556,1.55193322408735,0.507905418792222,131.611111111111,-2.24444444444444,"10_10_2","10_10_2_0.05_0.2_1"
10,10,2,0.05,0.2,1,4,6.88888888888889,11.5651041494198,1.67880544104482,216.333333333333,4.33333333333333,3.39339822525319,0.783091898135352,55.1666666666667,-2.55555555555556,"10_10_2","10_10_2_0.05_0.2_1"
10,10,2,0.05,0.2,1,5,5.2,9.75961064797157,1.87684820153299,171.12,4.83333333333333,3.40676688460784,0.704848320953346,37.8333333333333,-0.366666666666667,"10_10_2","10_10_2_0.05_0.2_1"
10,10,2,0.05,0.2,2,1,3.5,3.00640342244043,0.858972406411552,66.5,5,5.24933858267454,1.04986771653491,74.8,1.5,"10_10_2","10_10_2_0.05_0.2_2"
10,10,2,0.05,0.2,2,2,4.66666666666667,3.25669473639465,0.697863157798853,172.083333333333,3.73333333333333,4.41534122070289,1.18268068411685,89.8,-0.933333333333334,"10_10_2","10_10_2_0.05_0.2_2"
10,10,2,0.05,0.2,2,3,4.85714285714286,3.1825416617181,0.655229165647845,132.52380952381,5.5,7.23033732116129,1.31460678566569,53.3,0.642857142857143,"10_10_2","10_10_2_0.05_0.2_2"
10,10,2,0.05,0.2,2,4,5.44444444444444,2.72725292129865,0.500924005952814,131.222222222222,5.88888888888889,4.64877522699378,0.789414661187624,21.8888888888889,0.444444444444445,"10_10_2","10_10_2_0.05_0.2_2"
10,10,2,0.05,0.2,2,5,4.57142857142857,3.58568582800318,0.784368774875696,138.761904761905,5.1,4.90917508345343,0.962583349696751,50.5,0.528571428571428,"10_10_2","10_10_2_0.05_0.2_2"
10,10,2,0.05,0.2,3,1,5.47058823529412,10.2232434130443,1.86876492496508,93.0588235294118,3.0625,2.35141801189552,0.767809963067924,61.4375,-2.40808823529412,"10_10_2","10_10_2_0.05_0.2_3"
10,10,2,0.05,0.2,3,2,7.35714285714286,11.2974275006246,1.5355726699878,88.3571428571429,4.14285714285714,4.27617987059879,1.03218134807557,33.8571428571429,-3.21428571428571,"10_10_2","10_10_2_0.05_0.2_3"
10,10,2,0.05,0.2,3,3,6.93333333333333,10.983537464683,1.5841640574062,113.6,6,5.59761854124889,0.932936423541481,26.1,-0.933333333333334,"10_10_2","10_10_2_0.05_0.2_3"
10,10,2,0.05,0.2,3,4,5.8125,9.36816417447944,1.61172716980291,107.0625,2.94444444444444,2.64513364995869,0.898347277344461,51.5555555555556,-2.86805555555556,"10_10_2","10_10_2_0.05_0.2_3"
10,10,2,0.05,0.2,3,5,5.8125,9.50942514911741,1.63603013318149,112.0625,4.81818181818182,4.51260859854213,0.93657914309365,30.1818181818182,-0.994318181818182,"10_10_2","10_10_2_0.05_0.2_3"
10,10,2,0.05,0.2,4,1,4.17391304347826,5.21058515221261,1.24836935938427,178.434782608696,4.07142857142857,2.5858873113137,0.635130216813891,76.3571428571429,-0.10248447204969,"10_10_2","10_10_2_0.05_0.2_4"
10,10,2,0.05,0.2,4,2,4,5.44538097042287,1.36134524260572,176.791666666667,3.5625,2.36555138040444,0.664014422569666,31.125,-0.4375,"10_10_2","10_10_2_0.05_0.2_4"
10,10,2,0.05,0.2,4,3,4.92307692307692,5.85780216069527,1.18986606389123,161.961538461538,7.57142857142857,8.22308017831807,1.08606719336276,13.7142857142857,2.64835164835165,"10_10_2","10_10_2_0.05_0.2_4"
10,10,2,0.05,0.2,4,4,4.8,5.91696935227735,1.23270194839112,173.95,3,2.1143765594837,0.704792186494566,43.3333333333333,-1.8,"10_10_2","10_10_2_0.05_0.2_4"
10,10,2,0.05,0.2,4,5,5.33333333333333,10.0936788606125,1.89256478636485,148.888888888889,3.57142857142857,2.5332947751066,0.709322537029849,49.2142857142857,-1.76190476190476,"10_10_2","10_10_2_0.05_0.2_4"
10,10,2,0.05,0.2,5,1,3.36,3.946306289853,1.17449591959911,245.68,6.11111111111111,4.01386485959743,0.656814249752307,41.1111111111111,2.75111111111111,"10_10_2","10_10_2_0.05_0.2_5"
10,10,2,0.05,0.2,5,2,3.65217391304348,3.3657188297757,0.921565870057633,286.565217391304,3.76923076923077,2.55453342621329,0.677733357974955,71.6923076923077,0.117056856187291,"10_10_2","10_10_2_0.05_0.2_5"
10,10,2,0.05,0.2,5,3,4.66666666666667,5.04100830250083,1.08021606482161,267.444444444444,4.25,5.13676587322837,1.20865079370079,58.0833333333333,-0.416666666666667,"10_10_2","10_10_2_0.05_0.2_5"
10,10,2,0.05,0.2,5,4,4.42105263157895,5.8529744524917,1.32388707853979,240.315789473684,3.125,1.89296944860009,0.605750223552029,67.875,-1.29605263157895,"10_10_2","10_10_2_0.05_0.2_5"
10,10,2,0.05,0.2,5,5,6.71428571428571,9.42524083698474,1.40375927359347,285.714285714286,5,6.44980619863884,1.28996123972777,72.8181818181818,-1.71428571428571,"10_10_2","10_10_2_0.05_0.2_5"
