"F","P","S","t","tc","replicate_no","space_replicate","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
20,10,2,0.05,0.2,1,1,4.95,4.03243429156502,0.814633190215155,121.8,5.44444444444444,7.46144775592372,1.37046999598599,44.3333333333333,0.494444444444444,"20_10_2","20_10_2_0.05_0.2_1"
20,10,2,0.05,0.2,1,2,3.81481481481481,2.90936203735243,0.762648301053549,65.5925925925926,33.6666666666667,20.4042479237372,0.606066770011996,9,29.8518518518518,"20_10_2","20_10_2_0.05_0.2_1"
20,10,2,0.05,0.2,1,3,2.72727272727273,2.13998725569697,0.784661993755556,168.060606060606,5.29411764705882,5.05920826170401,0.955628227210758,87.3529411764706,2.5668449197861,"20_10_2","20_10_2_0.05_0.2_1"
20,10,2,0.05,0.2,1,4,3.1875,2.44207077649673,0.766139851449955,223.875,8.72727272727273,15.849863779168,1.81613022469633,82.6363636363636,5.53977272727273,"20_10_2","20_10_2_0.05_0.2_1"
20,10,2,0.05,0.2,1,5,3.57692307692308,3.52332884554453,0.98501666649632,83.5769230769231,7.07692307692308,15.8085501046192,2.23381686260924,87,3.5,"20_10_2","20_10_2_0.05_0.2_1"
20,10,2,0.05,0.2,10,1,3.15384615384615,2.2572958635023,0.715727956720243,162.384615384615,5.46666666666667,6.25490283887844,1.14418954369727,52.5333333333333,2.31282051282051,"20_10_2","20_10_2_0.05_0.2_10"
20,10,2,0.05,0.2,10,2,3.10344827586207,2.36559910240524,0.762248599663912,184.931034482759,8.18181818181818,12.8360288393115,1.56884796924918,58.0909090909091,5.07836990595611,"20_10_2","20_10_2_0.05_0.2_10"
20,10,2,0.05,0.2,10,3,3.3448275862069,2.40944365346273,0.720349133509476,213.068965517241,8.6,9.72053953692329,1.13029529499108,67.3,5.2551724137931,"20_10_2","20_10_2_0.05_0.2_10"
20,10,2,0.05,0.2,10,4,3.4375,2.78170868816389,0.809224345647676,175.375,9.1,11.0196793661764,1.2109537765029,41.5,5.6625,"20_10_2","20_10_2_0.05_0.2_10"
20,10,2,0.05,0.2,10,5,3.23529411764706,3.27579574907553,1.01251868607789,232.382352941176,6.1875,6.3583934029491,1.02761913583016,65.9375,2.95220588235294,"20_10_2","20_10_2_0.05_0.2_10"
20,10,2,0.05,0.2,100,1,3.89655172413793,4.39435374402041,1.1277545006778,164.241379310345,11.75,14.3302876055278,1.2195989451513,172.75,7.85344827586207,"20_10_2","20_10_2_0.05_0.2_100"
20,10,2,0.05,0.2,100,2,3.69565217391304,2.60130705972446,0.703883086748972,139.695652173913,6.07142857142857,6.2691464971077,1.03256530540597,80.2857142857143,2.37577639751553,"20_10_2","20_10_2_0.05_0.2_100"
20,10,2,0.05,0.2,100,3,4.15789473684211,4.20665026270886,1.01172601255023,152.894736842105,4.19047619047619,3.40028010050713,0.81143047853011,72.9047619047619,0.0325814536340854,"20_10_2","20_10_2_0.05_0.2_100"
20,10,2,0.05,0.2,100,4,3.03333333333333,2.12510986869456,0.700585670998205,203.666666666667,4.55,3.57586941949271,0.785905366921476,74.8,1.51666666666667,"20_10_2","20_10_2_0.05_0.2_100"
20,10,2,0.05,0.2,100,5,5.33333333333333,3.95563633610692,0.741681813020048,81.7777777777778,9.7,13.4829109946216,1.3899908241878,32,4.36666666666667,"20_10_2","20_10_2_0.05_0.2_100"
20,10,2,0.05,0.2,11,1,3.3,3.21794537147434,0.975134961052829,294.933333333333,9,13.228756555323,1.46986183948033,138,5.7,"20_10_2","20_10_2_0.05_0.2_11"
20,10,2,0.05,0.2,11,2,3.7037037037037,2.39895513817698,0.647717887307786,82.2962962962963,14.1428571428571,18.5241155562919,1.30978594842468,16,10.4391534391534,"20_10_2","20_10_2_0.05_0.2_11"
20,10,2,0.05,0.2,11,3,4.16666666666667,3.66732536902834,0.880158088566801,120.708333333333,6.84615384615385,7.44811110110201,1.08792634061041,34.1538461538462,2.67948717948718,"20_10_2","20_10_2_0.05_0.2_11"
20,10,2,0.05,0.2,11,4,4.32,3.5557465226494,0.82308947283551,84.2,4.61904761904762,5.3988534938095,1.16882395226804,181.142857142857,0.299047619047618,"20_10_2","20_10_2_0.05_0.2_11"
20,10,2,0.05,0.2,11,5,3.11538461538462,2.80466644115728,0.900263302099868,130.923076923077,3.24,4.20594816896262,1.29813215091439,195.92,0.124615384615385,"20_10_2","20_10_2_0.05_0.2_11"
20,10,2,0.05,0.2,12,1,3.68,2.41039415863879,0.654998412673584,70.6,30,28.5131548587665,0.950438495292217,9,26.32,"20_10_2","20_10_2_0.05_0.2_12"
20,10,2,0.05,0.2,12,2,2.78787878787879,2.86964257092211,1.02932831348293,88.5757575757576,15.3333333333333,15.1481572036557,0.98792329589059,8.5,12.5454545454545,"20_10_2","20_10_2_0.05_0.2_12"
20,10,2,0.05,0.2,12,3,3.32142857142857,2.81600677909237,0.847829998006305,120.428571428571,7.15384615384615,16.1753215003914,2.26106644629128,88.2307692307692,3.83241758241758,"20_10_2","20_10_2_0.05_0.2_12"
20,10,2,0.05,0.2,12,4,3.36363636363636,2.88750105414047,0.858446259339059,86.8181818181818,6.16666666666667,7.82575390888471,1.26904117441374,92.9166666666667,2.8030303030303,"20_10_2","20_10_2_0.05_0.2_12"
20,10,2,0.05,0.2,12,5,3.2962962962963,2.28397115054552,0.692890124322798,132.888888888889,9,10.3708994574027,1.15232216193363,159.1,5.7037037037037,"20_10_2","20_10_2_0.05_0.2_12"
20,10,2,0.05,0.2,13,1,3.5,3,0.857142857142857,155.964285714286,14.8333333333333,19.8349248151901,1.33718594259708,135.333333333333,11.3333333333333,"20_10_2","20_10_2_0.05_0.2_13"
20,10,2,0.05,0.2,13,2,3.28571428571429,2.32310684145723,0.707032516965245,143.857142857143,8.7,12.4726367166957,1.4336364042179,231.2,5.41428571428571,"20_10_2","20_10_2_0.05_0.2_13"
20,10,2,0.05,0.2,13,3,3.37037037037037,2.57425341153132,0.76378947375105,149.259259259259,5.8,6.30419361559091,1.08692993372257,40.5333333333333,2.42962962962963,"20_10_2","20_10_2_0.05_0.2_13"
20,10,2,0.05,0.2,13,4,3.13793103448276,3.19289543843643,1.01751612873249,158.034482758621,21.6666666666667,25.8907963055085,1.19495982948501,265.333333333333,18.5287356321839,"20_10_2","20_10_2_0.05_0.2_13"
20,10,2,0.05,0.2,13,5,3.66666666666667,3.2462996686168,0.885354455077309,278.851851851852,4.61904761904762,4.37579924672271,0.947337981249247,147.333333333333,0.952380952380952,"20_10_2","20_10_2_0.05_0.2_13"
20,10,2,0.05,0.2,14,1,3.66666666666667,3.35624311039769,0.915339030108461,221,7.15384615384615,12.6085034391223,1.76247897536118,32.5384615384615,3.48717948717949,"20_10_2","20_10_2_0.05_0.2_14"
20,10,2,0.05,0.2,14,2,3.08695652173913,2.74545978064051,0.889374295137066,82.1739130434783,13.8,10.8949529599719,0.789489344925498,8.8,10.7130434782609,"20_10_2","20_10_2_0.05_0.2_14"
20,10,2,0.05,0.2,14,3,3.1,2.74615718966428,0.88585715795622,101.166666666667,7.75,13.9878193764822,1.80487991954609,24.25,4.65,"20_10_2","20_10_2_0.05_0.2_14"
20,10,2,0.05,0.2,14,4,3.25925925925926,2.68317539483169,0.823246996141542,177.62962962963,5.2,4.73889679747754,0.911326307207219,93.8666666666667,1.94074074074074,"20_10_2","20_10_2_0.05_0.2_14"
20,10,2,0.05,0.2,14,5,3.66666666666667,2.79232903671386,0.761544282740144,70.9166666666667,11,15.2502927372372,1.38639024883974,15.75,7.33333333333333,"20_10_2","20_10_2_0.05_0.2_14"
20,10,2,0.05,0.2,15,1,3.96,4.22768652259523,1.06759760671597,136.68,8.41666666666667,11.9427294986861,1.41893815825974,121.833333333333,4.45666666666667,"20_10_2","20_10_2_0.05_0.2_15"
20,10,2,0.05,0.2,15,2,2.75,1.85741756210067,0.675424568036608,136.388888888889,8.9,11.8457681144881,1.33098518140315,41.8,6.15,"20_10_2","20_10_2_0.05_0.2_15"
20,10,2,0.05,0.2,15,3,3.86363636363636,3.84578253285899,0.995379008504679,99.5,6.53846153846154,6.34580418617142,0.970534757885041,44.8461538461538,2.67482517482517,"20_10_2","20_10_2_0.05_0.2_15"
20,10,2,0.05,0.2,15,4,3.66666666666667,3.44732620606384,0.940179874381047,224.375,4.83333333333333,7.27808960066405,1.5058116415167,291,1.16666666666667,"20_10_2","20_10_2_0.05_0.2_15"
20,10,2,0.05,0.2,15,5,4.33333333333333,4.19799814266242,0.968768802152866,236.666666666667,5.33333333333333,5.95077849578375,1.11577096795945,68.5555555555556,1,"20_10_2","20_10_2_0.05_0.2_15"
20,10,2,0.05,0.2,16,1,3.92,2.54820198048219,0.650051525633211,66.28,19.6,13.6124942607885,0.694515013305536,45.8,15.68,"20_10_2","20_10_2_0.05_0.2_16"
20,10,2,0.05,0.2,16,2,3.5,2.81910773491412,0.805459352832606,110.2,5.38461538461539,4.31158249251288,0.800722462895249,116.153846153846,1.88461538461539,"20_10_2","20_10_2_0.05_0.2_16"
20,10,2,0.05,0.2,16,3,3.28571428571429,2.59425494702404,0.789555853442101,201.857142857143,6.57142857142857,7.21871803784371,1.09850057097622,72.8571428571429,3.28571428571429,"20_10_2","20_10_2_0.05_0.2_16"
20,10,2,0.05,0.2,16,4,3.5,2.96273147243853,0.846494706411009,63.6785714285714,14,23.7205958328763,1.69432827377688,10,10.5,"20_10_2","20_10_2_0.05_0.2_16"
20,10,2,0.05,0.2,16,5,3.37931034482759,2.47001725129095,0.73092347232079,94.4827586206897,15.3333333333333,26.5229460404885,1.72975735046664,9.16666666666667,11.9540229885057,"20_10_2","20_10_2_0.05_0.2_16"
20,10,2,0.05,0.2,17,1,3.28571428571429,2.74681152338007,0.835986115811326,142,4.04347826086957,4.57739764166939,1.13204457804727,87.0869565217391,0.75776397515528,"20_10_2","20_10_2_0.05_0.2_17"
20,10,2,0.05,0.2,17,2,2.96875,2.75311407260473,0.927364740245803,391.96875,5.47058823529412,4.1850574526944,0.765010502105428,112.647058823529,2.50183823529412,"20_10_2","20_10_2_0.05_0.2_17"
