"F","P","S","replicate_no","space_replicate","t","tc","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
2,21,2,1,1,0.05,0.1,2.5,1.65250392761083,0.661001571044333,220.357142857143,2.58333333333333,1.50504203102489,0.58259691523544,65.4166666666667,0.0833333333333335,"2_21_2","2_21_2_0.05_0.1_1"
2,21,2,1,1,0.05,0.2,3.34285714285714,2.63397325841597,0.787940718329562,455.457142857143,3.1,3.17804971641414,1.02517732787553,53.6,-0.242857142857143,"2_21_2","2_21_2_0.05_0.2_1"
2,21,2,1,1,0.05,0.25,4.28571428571429,4.37621531739489,1.02111690739214,276.685714285714,16,7.07106781186548,0.441941738241592,16.5,11.7142857142857,"2_21_2","2_21_2_0.05_0.25_1"
2,21,2,1,1,0.1,0.1,3,1.88561808316413,0.628539361054709,105.3,10,15.5884572681199,1.55884572681199,26,7,"2_21_2","2_21_2_0.1_0.1_1"
2,21,2,1,1,0.1,0.2,7.53333333333333,11.5317367460826,1.53076151496672,280.4,6.2,4.81663783151692,0.776877069599503,29.8,-1.33333333333333,"2_21_2","2_21_2_0.1_0.2_1"
2,21,2,1,1,0.1,0.25,3.86486486486486,3.37607729441995,0.873530488766,286.081081081081,9.55555555555556,10.8640589918215,1.13693640612086,30.8888888888889,5.69069069069069,"2_21_2","2_21_2_0.1_0.25_1"
2,21,2,1,1,0.15,0.1,2.9375,3.43450627213481,1.16919362455653,150.4375,8.33333333333333,7.50111102881878,0.900133323458253,118.166666666667,5.39583333333333,"2_21_2","2_21_2_0.15_0.1_1"
2,21,2,1,1,0.15,0.2,6.1304347826087,6.52480823700163,1.06433042163856,279.608695652174,8.75,11.6153633893506,1.32747010164007,17,2.6195652173913,"2_21_2","2_21_2_0.15_0.2_1"
2,21,2,1,1,0.15,0.25,11.6666666666667,15.5402702679201,1.33202316582172,82.6666666666667,26,12.7279220613579,0.489535463898379,6.5,14.3333333333333,"2_21_2","2_21_2_0.15_0.25_1"
2,21,2,1,2,0.05,0.1,2.21428571428571,1.3114039117603,0.592246927891749,204.071428571429,2.66666666666667,2.26969494679685,0.851135605048818,71.25,0.452380952380952,"2_21_2","2_21_2_0.05_0.1_1"
2,21,2,1,2,0.05,0.2,4,3.52332131708822,0.880830329272055,527.833333333333,4.25,4.74341649025257,1.11609799770649,15.875,0.25,"2_21_2","2_21_2_0.05_0.2_1"
2,21,2,1,2,0.05,0.25,4.25,4.60776317549866,1.08417957070557,314.25,4.71428571428571,3.45032779671177,0.731887714454012,14.1428571428571,0.464285714285714,"2_21_2","2_21_2_0.05_0.25_1"
2,21,2,1,2,0.1,0.1,2.25,1.60255477852765,0.712246568234513,318.5,8.66666666666667,9.29157324317757,1.07210460498203,20.3333333333333,6.41666666666667,"2_21_2","2_21_2_0.1_0.1_1"
2,21,2,1,2,0.1,0.2,8.14285714285714,11.700474302399,1.43690035292619,305.428571428571,15.5,19.0918830920368,1.23173439303463,8.5,7.35714285714286,"2_21_2","2_21_2_0.1_0.2_1"
2,21,2,1,2,0.1,0.25,3.86486486486486,3.01995366191604,0.781386611824431,287.351351351351,8.6,8.57904423581089,0.997563283233824,28.7,4.73513513513513,"2_21_2","2_21_2_0.1_0.25_1"
2,21,2,1,2,0.15,0.1,2.41666666666667,1.62135371797393,0.670904986747832,255,6.25,6.54107898482462,1.04657263757194,98.125,3.83333333333333,"2_21_2","2_21_2_0.15_0.1_1"
2,21,2,1,2,0.15,0.2,6.1304347826087,7.04727121803563,1.14955487953773,277.826086956522,10.6666666666667,12.5033328890074,1.17218745834444,16.6666666666667,4.53623188405797,"2_21_2","2_21_2_0.15_0.2_1"
2,21,2,1,2,0.15,0.25,9.54545454545454,14.1941088932249,1.48700188405214,72.9090909090909,17.3333333333333,10.5987420637231,0.611465888291717,9,7.78787878787879,"2_21_2","2_21_2_0.15_0.25_1"
2,21,2,1,3,0.05,0.1,1.77777777777778,1.30859401674224,0.736084134417511,422.833333333333,1.88235294117647,0.927520413601263,0.492745219725671,309.470588235294,0.104575163398693,"2_21_2","2_21_2_0.05_0.1_1"
2,21,2,1,3,0.05,0.2,3.57575757575758,2.77297564709716,0.775493189442428,480.787878787879,5.33333333333333,3.2659863237109,0.612372435695795,71.5,1.75757575757576,"2_21_2","2_21_2_0.05_0.2_1"
2,21,2,1,3,0.05,0.25,4.72413793103448,5.50257440868842,1.16477852446689,305.896551724138,8,7.78888096369861,0.973610120462327,41.5,3.27586206896552,"2_21_2","2_21_2_0.05_0.25_1"
2,21,2,1,3,0.1,0.1,2.07692307692308,1.65637850251377,0.797515575284406,177.461538461538,4.16666666666667,5.38206899497458,1.2916965587939,16.3333333333333,2.08974358974359,"2_21_2","2_21_2_0.1_0.1_1"
2,21,2,1,3,0.1,0.2,7.73684210526316,10.186276744627,1.31659359284294,236,33,0,0,12,25.2631578947368,"2_21_2","2_21_2_0.1_0.2_1"
2,21,2,1,3,0.1,0.25,3.96875,4.34395668456988,1.09454026697824,317.5,10.6666666666667,15.8850034099251,1.48921906968048,9,6.69791666666667,"2_21_2","2_21_2_0.1_0.25_1"
2,21,2,1,3,0.15,0.1,0,0,0,0,0,0,0,0,0,"2_21_2","2_21_2_0.15_0.1_1"
2,21,2,1,3,0.15,0.2,6.6,6.58027355054484,0.997011144021945,44,16.5,21.920310216783,1.328503649502,5.5,9.9,"2_21_2","2_21_2_0.15_0.2_1"
2,21,2,1,3,0.15,0.25,15,16.8522995463527,1.12348663642351,109.285714285714,26,6.557438524302,0.252209174011615,8.66666666666667,11,"2_21_2","2_21_2_0.15_0.25_1"
2,21,2,1,4,0.05,0.1,3,1.9436506316151,0.6478835438717,117.7,3.55555555555556,2.185812841434,0.614759861653313,65.8888888888889,0.555555555555555,"2_21_2","2_21_2_0.05_0.1_1"
2,21,2,1,4,0.05,0.2,3.80645161290323,2.891589584049,0.759654890724736,510.645161290323,10.6666666666667,8.50490054811538,0.797334426385817,28,6.86021505376344,"2_21_2","2_21_2_0.05_0.2_1"
2,21,2,1,4,0.05,0.25,4.10344827586207,4.11742661992213,1.00340648720791,314.206896551724,4.71428571428571,5.37631490007439,1.14043043334911,37.7142857142857,0.610837438423645,"2_21_2","2_21_2_0.05_0.25_1"
2,21,2,1,4,0.1,0.1,2.5625,1.54784796841723,0.604038231577454,139.6875,17,22.6274169979695,1.33102452929232,29,14.4375,"2_21_2","2_21_2_0.1_0.1_1"
2,21,2,1,4,0.1,0.2,6.63636363636364,9.66360602390647,1.45615981182152,209.863636363636,10.6666666666667,13.3166562369588,1.24843652221489,11,4.03030303030303,"2_21_2","2_21_2_0.1_0.2_1"
2,21,2,1,4,0.1,0.25,3.65714285714286,3.36017206442185,0.91879704886535,300.314285714286,16.5,17.6776695296637,1.07137391088871,19.5,12.8428571428571,"2_21_2","2_21_2_0.1_0.25_1"
2,21,2,1,4,0.15,0.1,2.35714285714286,1.33630620956212,0.56691778587484,365,6.6,5.02991053598372,0.76210765696723,20.8,4.24285714285714,"2_21_2","2_21_2_0.15_0.1_1"
