"F","P","S","t","tc","replicate_no","space_replicate","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
20,10,2,0.05,0.2,1,1,3.17857142857143,2.31026006919169,0.726823392554689,250.785714285714,7.4,6.26897120746299,0.847158271278783,6,4.22142857142857,"20_10_2","20_10_2_0.05_0.2_1"
20,10,2,0.05,0.2,1,2,3.61290322580645,3.63939023605914,1.00733122605208,212.193548387097,7.66666666666667,9.0687608989555,1.1828818563855,33.75,4.05376344086022,"20_10_2","20_10_2_0.05_0.2_1"
20,10,2,0.05,0.2,1,3,3.61538461538462,3.74247963870932,1.03515394262173,85.9615384615385,7.83333333333333,18.1600627418486,2.31830588193812,109.166666666667,4.21794871794872,"20_10_2","20_10_2_0.05_0.2_1"
20,10,2,0.05,0.2,1,4,3.91666666666667,3.16113169975381,0.807097455256292,148.666666666667,11.75,18.2424152536257,1.55254597903197,144.125,7.83333333333333,"20_10_2","20_10_2_0.05_0.2_1"
20,10,2,0.05,0.2,1,5,3.21875,2.15128431257897,0.668360174781817,178.84375,8,14.7586646353314,1.84483307941643,56.0833333333333,4.78125,"20_10_2","20_10_2_0.05_0.2_1"
20,10,2,0.05,0.2,10,1,3.36,2.343074902772,0.697343721063094,156.84,8.3,9.87758405009376,1.19007036748118,15.1,4.94,"20_10_2","20_10_2_0.05_0.2_10"
20,10,2,0.05,0.2,10,2,3.26666666666667,3.35213090573674,1.02616252216431,157.133333333333,8.25,9.65895721832613,1.17078269313044,32.5,4.98333333333333,"20_10_2","20_10_2_0.05_0.2_10"
20,10,2,0.05,0.2,10,3,3.64,2.62805377925694,0.721992796499158,112.96,8.27272727272727,9.40309426828115,1.13663776869333,23,4.63272727272727,"20_10_2","20_10_2_0.05_0.2_10"
20,10,2,0.05,0.2,10,4,3.32142857142857,3.3339285182918,1.00376342486205,175.571428571429,6.64285714285714,6.52341513740656,0.98201948305045,43.4285714285714,3.32142857142857,"20_10_2","20_10_2_0.05_0.2_10"
20,10,2,0.05,0.2,10,5,3.32142857142857,3.74218762944461,1.12668014649945,191.535714285714,9.3,14.9892554110529,1.6117478936616,225.3,5.97857142857143,"20_10_2","20_10_2_0.05_0.2_10"
20,10,2,0.05,0.2,100,1,4.33333333333333,3.9665266081716,0.915352294193447,344.904761904762,14.4,16.3340135912763,1.13430649939419,33.6,10.0666666666667,"20_10_2","20_10_2_0.05_0.2_100"
20,10,2,0.05,0.2,100,2,3.58064516129032,3.39385909694149,0.947834522569244,248.709677419355,89,0,0,9,85.4193548387097,"20_10_2","20_10_2_0.05_0.2_100"
20,10,2,0.05,0.2,100,3,7.1,6.11827862501646,0.861729383805136,49.7,23.6666666666667,18.9296944860009,0.799846245887362,5,16.5666666666667,"20_10_2","20_10_2_0.05_0.2_100"
20,10,2,0.05,0.2,100,4,3,2.22111083319436,0.740370277731452,144.064516129032,20,16.4620776331543,0.823103881657717,6,17,"20_10_2","20_10_2_0.05_0.2_100"
20,10,2,0.05,0.2,100,5,2.83870967741935,1.96802395299699,0.693281165260303,120.548387096774,41,56.5685424949238,1.37972054865668,4.5,38.1612903225806,"20_10_2","20_10_2_0.05_0.2_100"
20,10,2,0.05,0.2,11,1,2.93548387096774,2.17463382160411,0.74080932384316,421.064516129032,4.52631578947368,3.96328176378885,0.875608761767305,188.210526315789,1.59083191850594,"20_10_2","20_10_2_0.05_0.2_11"
20,10,2,0.05,0.2,11,2,3.16666666666667,2.78259899066631,0.878715470736728,400.361111111111,6.06666666666667,7.3140438948121,1.20561163101298,176.6,2.9,"20_10_2","20_10_2_0.05_0.2_11"
20,10,2,0.05,0.2,11,3,2.68571428571429,2.2198493400312,0.826539647883959,433.028571428571,6.26666666666667,8.23291882511618,1.31376364230577,63.2666666666667,3.58095238095238,"20_10_2","20_10_2_0.05_0.2_11"
20,10,2,0.05,0.2,11,4,3.375,3.42386128325266,1.01447741726005,169.458333333333,5.4,5.57801808120821,1.03296631133485,21.5333333333333,2.025,"20_10_2","20_10_2_0.05_0.2_11"
20,10,2,0.05,0.2,11,5,4.1304347826087,4.01479477372117,0.972002945216704,174.086956521739,7.91666666666667,14.8963591240113,1.88164536303301,219.333333333333,3.78623188405797,"20_10_2","20_10_2_0.05_0.2_11"
20,10,2,0.05,0.2,12,1,3.81481481481481,2.8153021020711,0.737991813164268,127.851851851852,15.6666666666667,23.2522400354604,1.48418553417832,25.6666666666667,11.8518518518519,"20_10_2","20_10_2_0.05_0.2_12"
20,10,2,0.05,0.2,12,2,3.21428571428571,2.1833908874033,0.679277164969915,198.071428571429,5.625,7.64089872549907,1.35838199564428,73.6875,2.41071428571429,"20_10_2","20_10_2_0.05_0.2_12"
20,10,2,0.05,0.2,12,3,3.27586206896552,2.34363197568185,0.715424497839723,286.793103448276,7.21428571428571,13.4403443833429,1.86301803333466,255.642857142857,3.9384236453202,"20_10_2","20_10_2_0.05_0.2_12"
20,10,2,0.05,0.2,12,4,2.92857142857143,2.65174396044302,0.905473547468348,316.75,6.30769230769231,6.57501096811018,1.04237978762722,211.230769230769,3.37912087912088,"20_10_2","20_10_2_0.05_0.2_12"
20,10,2,0.05,0.2,12,5,3.4,2.95803989154981,0.870011732808767,69.52,10.625,19.3164437720819,1.81801823737241,68,7.225,"20_10_2","20_10_2_0.05_0.2_12"
20,10,2,0.05,0.2,13,1,4.64705882352941,4.85979907597254,1.04577954799409,116.647058823529,15.6,14.842506526864,0.951442726081025,76.8,10.9529411764706,"20_10_2","20_10_2_0.05_0.2_13"
20,10,2,0.05,0.2,13,2,3.16129032258065,2.2225626979315,0.703055547304863,151.935483870968,10.8888888888889,18.6978905524423,1.7171532139998,127,7.72759856630824,"20_10_2","20_10_2_0.05_0.2_13"
20,10,2,0.05,0.2,13,3,3.11764705882353,2.56745016631409,0.823521751459236,138.235294117647,6.4,11.1662757571947,1.74473058706167,187.4,3.28235294117647,"20_10_2","20_10_2_0.05_0.2_13"
20,10,2,0.05,0.2,13,4,3.25925925925926,1.99214983589613,0.611227790559039,77.1851851851852,44,19.7989898732233,0.449977042573257,4.5,40.7407407407407,"20_10_2","20_10_2_0.05_0.2_13"
20,10,2,0.05,0.2,13,5,3.79166666666667,3.34896696163831,0.883244033838675,131.083333333333,8.77777777777778,19.9861062852284,2.2768981843931,51.1111111111111,4.98611111111111,"20_10_2","20_10_2_0.05_0.2_13"
20,10,2,0.05,0.2,14,1,4,3.3717089216941,0.842927230423525,132.5,11.4285714285714,20.6950649741844,1.81081818524114,91.2857142857143,7.42857142857143,"20_10_2","20_10_2_0.05_0.2_14"
20,10,2,0.05,0.2,14,2,3.90909090909091,3.16090841236218,0.808604477581022,112.681818181818,43,53.7401153701776,1.24977012488785,7.5,39.0909090909091,"20_10_2","20_10_2_0.05_0.2_14"
20,10,2,0.05,0.2,14,3,2.81818181818182,2.00708970674185,0.712193121747108,183.939393939394,6.13333333333333,8.19291215159845,1.33580089428236,120.8,3.31515151515152,"20_10_2","20_10_2_0.05_0.2_14"
20,10,2,0.05,0.2,14,4,4.21052631578947,4.06309880876955,0.964985967082769,297.842105263158,5.71428571428571,5.8101843136205,1.01678225488359,279.714285714286,1.50375939849624,"20_10_2","20_10_2_0.05_0.2_14"
20,10,2,0.05,0.2,14,5,4,2.50713268211203,0.626783170528009,106.909090909091,17.2,21.2061311888803,1.23291460400467,104,13.2,"20_10_2","20_10_2_0.05_0.2_14"
20,10,2,0.05,0.2,15,1,2.73529411764706,2.13639208082099,0.781046567181868,177.852941176471,5.16666666666667,5.97297836830465,1.15606032934929,77.3888888888889,2.43137254901961,"20_10_2","20_10_2_0.05_0.2_15"
20,10,2,0.05,0.2,15,2,3.52,2.5677486896761,0.729474059567074,208.16,4.35,5.13271242542433,1.17993389090214,236.1,0.83,"20_10_2","20_10_2_0.05_0.2_15"
20,10,2,0.05,0.2,15,3,3.85714285714286,3.59036993950777,0.930836650983495,190.257142857143,48,21.2132034355964,0.441941738241592,5.5,44.1428571428571,"20_10_2","20_10_2_0.05_0.2_15"
20,10,2,0.05,0.2,15,4,3.72,3.87857362097632,1.04262731746675,107.2,13.5714285714286,20.181320925195,1.48704469975121,38.1428571428571,9.85142857142857,"20_10_2","20_10_2_0.05_0.2_15"
20,10,2,0.05,0.2,15,5,3.03125,2.02379992317231,0.667645335479526,128.40625,12,21.9479904709813,1.82899920591511,67.75,8.96875,"20_10_2","20_10_2_0.05_0.2_15"
20,10,2,0.05,0.2,16,1,4.17391304347826,3.44637060626556,0.825692957751123,65.4347826086957,32,47.6340214552582,1.48856317047682,4,27.8260869565217,"20_10_2","20_10_2_0.05_0.2_16"
20,10,2,0.05,0.2,16,2,4.5,3.90006747579955,0.866681661288789,48.35,29.3333333333333,43.890014050275,1.49625047898665,4,24.8333333333333,"20_10_2","20_10_2_0.05_0.2_16"
20,10,2,0.05,0.2,16,3,3.40740740740741,3.48909575302673,1.02397375360567,108.333333333333,22.5,37.8549864614954,1.68244384273313,21.75,19.0925925925926,"20_10_2","20_10_2_0.05_0.2_16"
20,10,2,0.05,0.2,16,4,3.53846153846154,3.56909814077191,1.00865817021815,109.576923076923,10,11.71537451386,1.171537451386,25.4444444444444,6.46153846153846,"20_10_2","20_10_2_0.05_0.2_16"
20,10,2,0.05,0.2,16,5,2.84848484848485,2.12310521585148,0.745345448118073,226.212121212121,13.5714285714286,8.44308677473555,0.622122183401567,121.857142857143,10.7229437229437,"20_10_2","20_10_2_0.05_0.2_16"
20,10,2,0.05,0.2,17,1,4.7,4.95346768489138,1.05392929465774,252.6,7.23076923076923,10.9708237775918,1.5172415862627,107.615384615385,2.53076923076923,"20_10_2","20_10_2_0.05_0.2_17"
20,10,2,0.05,0.2,17,2,4,3.9496835316263,0.987420882906575,55.5625,21.3333333333333,21.594752448994,1.01225402104659,5,17.3333333333333,"20_10_2","20_10_2_0.05_0.2_17"
20,10,2,0.05,0.2,17,3,3.95238095238095,3.41286083039128,0.863494908894179,62.5238095238095,13.8333333333333,15.5231010647572,1.12215188419932,28.8333333333333,9.88095238095238,"20_10_2","20_10_2_0.05_0.2_17"
20,10,2,0.05,0.2,17,4,3.24137931034483,2.65458057507333,0.818966347629006,192.344827586207,11.875,22.1581168617088,1.86594668309127,56.375,8.63362068965517,"20_10_2","20_10_2_0.05_0.2_17"
20,10,2,0.05,0.2,17,5,2.78125,2.10581950946695,0.757148587673509,147.15625,8.09090909090909,11.7341769669163,1.45029153523685,45.1818181818182,5.30965909090909,"20_10_2","20_10_2_0.05_0.2_17"
20,10,2,0.05,0.2,18,1,4.55,5.66127194188726,1.24423559162357,177.55,11.375,15.5189975744017,1.36430747906828,83,6.825,"20_10_2","20_10_2_0.05_0.2_18"
20,10,2,0.05,0.2,18,2,2.93939393939394,3.43638067175511,1.16907796049401,135.939393939394,10.7777777777778,16.2540593220415,1.50810859689045,110.777777777778,7.83838383838384,"20_10_2","20_10_2_0.05_0.2_18"
20,10,2,0.05,0.2,18,3,4.83333333333333,3.25064096243597,0.672546406021236,48.1666666666667,9.66666666666667,9.29157324317757,0.961197232052852,7,4.83333333333333,"20_10_2","20_10_2_0.05_0.2_18"
20,10,2,0.05,0.2,18,4,3.91304347826087,2.84306242502151,0.726560397505496,113.608695652174,15,16.9587735405601,1.130584902704,43,11.0869565217391,"20_10_2","20_10_2_0.05_0.2_18"
